Frequency,Time (dB SPL),FFT (dB SPL),Calibrated Time (dB SPL),Calibrated FFT (dB SPL),Normalization (dB SPL),THD,TestSignal 0.1V=96.5dB SPL
97,61.21026,59.8,No Data, No Data,36.68843,-60.5314,
140,64.60808,64.0447,No Data, No Data,32.44376,-21.1516,
183,68.03732,67.8278,No Data, No Data,28.66063,-27.219,
226,69.37472,68.9594,No Data, No Data,27.52907,-29.4547,
269,71.72779,71.6129,No Data, No Data,24.87556,-35.5431,
312,74.02253,73.9647,No Data, No Data,22.52377,-37.984,
355,76.23989,76.1961,No Data, No Data,20.29236,-37.5275,
398,78.21966,78.1691,No Data, No Data,18.31936,-41.5628,
441,79.20421,79.1547,No Data, No Data,17.33369,-48.8219,
484,81.02395,80.9489,No Data, No Data,15.53955,-50.955,
527,82.60632,82.5928,No Data, No Data,13.89567,-49.3957,
570,84.0158,83.9929,No Data, No Data,12.49554,-48.9402,
613,85.12249,85.093,No Data, No Data,11.39546,-51.1248,
656,85.9493,85.9237,No Data, No Data,10.56477,-56.2575,
699,86.32686,86.3044,No Data, No Data,10.18404,-56.0635,
742,86.82755,86.8087,No Data, No Data,9.67975,-55.3434,
785,87.1637,87.1507,No Data, No Data,9.33769,-53.4526,
828,87.39241,87.37,No Data, No Data,9.11839,-50.776,
871,87.55985,87.5259,No Data, No Data,8.96256,-47.9502,
914,87.60818,87.5917,No Data, No Data,8.89668,-48.0315,
957,87.75618,87.7344,No Data, No Data,8.75407,-51.5127,
1000,87.92895,87.9,No Data, No Data,8.58847,-55.0325,
1043,88.12432,88.1043,No Data, No Data,8.38409,-57.7383,
1086,88.38904,88.368,No Data, No Data,8.12043,-60.7658,
1129,88.54124,88.524,No Data, No Data,7.96445,-60.2881,
1172,88.89267,88.8711,No Data, No Data,7.61731,-62.8086,
1215,89.3264,89.297,No Data, No Data,7.19141,-64.4619,
1258,89.81453,89.7931,No Data, No Data,6.69529,-66.3231,
1301,90.38727,90.3671,No Data, No Data,6.12133,-67.9583,
1344,90.70416,90.6875,No Data, No Data,5.80089,-68.4374,
1387,91.41512,91.3972,No Data, No Data,5.09121,-70.6015,
1430,92.22833,92.2121,No Data, No Data,4.27631,-71.8921,
1473,93.1684,93.152,No Data, No Data,3.33642,-71.0796,
1516,94.25779,94.2417,No Data, No Data,2.24672,-73.1637,
1559,94.86797,94.8519,No Data, No Data,1.63657,-73.5294,
1602,96.23204,96.2176,No Data, No Data,0.2708,-76.2154,
1645,97.7994,97.784,No Data, No Data,-1.29557,-77.3743,
1688,99.49805,99.4832,No Data, No Data,-2.99476,-79.0321,
1731,101.01125,100.9963,No Data, No Data,-4.50791,-77.5398,
1774,101.47889,101.4639,No Data, No Data,-4.9755,-75.8904,
1817,101.36615,101.3515,No Data, No Data,-4.86312,-74.0732,
1860,99.98389,99.9693,No Data, No Data,-3.48086,-73.1318,
1903,98.10215,98.0871,No Data, No Data,-1.59864,-72.2636,
1946,96.24186,96.2265,No Data, No Data,0.26196,-71.5405,
1989,95.37617,95.3615,No Data, No Data,1.12691,-70.2811,
2032,93.79645,93.7809,No Data, No Data,2.70756,-69.0106,
2075,92.40396,92.3869,No Data, No Data,4.10156,-69.8119,
2118,91.1681,91.1514,No Data, No Data,5.33706,-71.6019,
2161,90.06617,90.0481,No Data, No Data,6.44028,-72.7492,
2204,89.55664,89.5387,No Data, No Data,6.94972,-72.3007,
2247,88.60981,88.5928,No Data, No Data,7.8956,-72.7453,
2290,87.74832,87.7312,No Data, No Data,8.75726,-71.1865,
2333,86.96057,86.9409,No Data, No Data,9.5475,-69.6719,
2376,86.23191,86.2132,No Data, No Data,10.27526,-71.4706,
2419,85.88985,85.868,No Data, No Data,10.62042,-70.7791,
