Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V = 92.0919251 dB SPL
10933,86.760939,86.7409622,No Data,No Data,31.1299898,-64.298539,
11019,87.0163956,86.9959808,No Data,No Data,30.8749708,-67.212799,
11105,87.2376846,87.2189544,No Data,No Data,30.6519972,-66.894117,
11191,87.4006392,87.3820372,No Data,No Data,30.4889144,-67.212825,
11277,87.451555,87.4323378,No Data,No Data,30.438614,-69.0412322,
11363,87.4797742,87.4600508,No Data,No Data,30.4109008,-66.8922008,
11449,87.3855164,87.3668564,No Data,No Data,30.5040956,-68.087973,
11535,87.1665298,87.1466246,No Data,No Data,30.724327,-69.071959,
11621,86.8204284,86.8015562,No Data,No Data,31.0693954,-70.8489106,
11707,86.3603682,86.3401184,No Data,No Data,31.5308334,-68.9786324,
11793,86.096936,86.07733,No Data,No Data,31.793622,-73.1758836,
11879,85.5530152,85.5361892,No Data,No Data,32.3347624,-68.0017258,
11965,84.9964052,84.9770324,No Data,No Data,32.8939192,-68.6991882,
12051,84.3658114,84.3448914,No Data,No Data,33.5260602,-66.319899,
12137,83.7157182,83.6948028,No Data,No Data,34.176149,-68.1081,
12223,83.3936676,83.374846,No Data,No Data,34.496106,-100,
12309,82.7565108,82.7375912,No Data,No Data,35.1333604,-100,
12395,82.1421738,82.1234496,No Data,No Data,35.7475022,-100,
12481,81.5524948,81.5315962,No Data,No Data,36.3393554,-100,
12567,80.9899552,80.9675842,No Data,No Data,36.9033678,-100,
12653,80.7226808,80.702365,No Data,No Data,37.1685866,-100,
12739,80.207675,80.1880538,No Data,No Data,37.682898,-100,
12825,79.720813,79.69953,No Data,No Data,38.1714218,-100,
12911,79.2799924,79.2617708,No Data,No Data,38.6091812,-100,
12997,78.8945236,78.870952,No Data,No Data,39,-100,
